date,hour,price_eur_per_mwh,is_negative_price,negative_price_duration,is_green_energy
2013-01-20,9,37.96,0,0,0
2013-01-20,10,38.62,0,0,0
2013-01-20,11,39.5,0,0,0
2013-01-20,12,40.12,0,0,0
2013-01-20,13,39.75,0,0,0
2013-01-20,14,38.400000000000006,0,0,0
2013-01-20,15,37.67,0,0,0
2013-01-20,16,38.06,0,0,0
2013-01-20,17,39.43,0,0,0
2013-01-20,18,40.084999999999994,0,0,0
2013-01-20,19,40.73,0,0,0
2013-01-20,20,39.84,0,0,0
2013-01-20,21,38.82,0,0,0
2013-01-20,22,36.665000000000006,0,0,0
2013-01-20,23,37.03,0,0,0
2013-01-20,24,31.28,0,0,0
2013-01-21,1,26.72,0,0,0
2013-01-21,2,29.25,0,0,0
2013-01-21,3,21.91,0,0,0
2013-01-21,4,21.96,0,0,0
2013-01-21,5,29.2,0,0,0
2013-01-21,6,29.28,0,0,0
2013-01-21,7,38.705,0,0,0
2013-01-21,8,43.59,0,0,0
2013-01-21,9,43.82,0,0,0
2013-01-21,10,42.864999999999995,0,0,0
2013-01-21,11,42.305,0,0,0
2013-01-21,12,41.97,0,0,0
2013-01-21,13,42.025,0,0,0
2013-01-21,14,42.06,0,0,0
2013-01-21,15,41.870000000000005,0,0,0
2013-01-21,16,42.095,0,0,0
2013-01-21,17,44.025,0,0,0
2013-01-21,18,46.135000000000005,0,0,0
2013-01-21,19,42.935,0,0,0
2013-01-21,20,42.03,0,0,0
2013-01-21,21,41.260000000000005,0,0,0
2013-01-21,22,40.5,0,0,0
2013-01-21,23,39.61,0,0,0
2013-01-21,24,36.55,0,0,0
2013-01-22,1,33.79,0,0,0
2013-01-22,2,33.08,0,0,0
2013-01-22,3,34.27,0,0,0
2013-01-22,4,33.23,0,0,0
2013-01-22,5,33.08,0,0,0
2013-01-22,6,33.75,0,0,0
2013-01-22,7,39.17,0,0,0
2013-01-22,8,54.05,0,0,0
2013-01-22,9,63.35,0,0,0
2013-01-22,10,50.71,0,0,0
2013-01-22,11,48.13,0,0,0
2013-01-22,12,47.07,0,0,0
2013-01-22,13,45.51,0,0,0
2013-01-22,14,46.93,0,0,0
2013-01-22,15,47.04,0,0,0
2013-01-22,16,53.04,0,0,0
2013-01-22,17,60.73,0,0,0
2013-01-22,18,75.06,0,0,0
2013-01-22,19,81.33,0,0,0
2013-01-22,20,65.9,0,0,0
2013-01-22,21,44.43,0,0,0
2013-01-22,22,43.0,0,0,0
2013-01-22,23,40.75,0,0,0
2013-01-22,24,39.63,0,0,0
2013-01-23,1,39.55,0,0,0
2013-01-23,2,38.29,0,0,0
2013-01-23,3,37.86,0,0,0
2013-01-23,4,38.23,0,0,0
2013-01-23,5,38.475,0,0,0
2013-01-23,6,40.685,0,0,0
2013-01-23,7,46.84,0,0,0
2013-01-23,8,68.1,0,0,0
2013-01-23,9,74.9,0,0,0
2013-01-23,10,74.98,0,0,0
2013-01-23,11,75.79,0,0,0
2013-01-23,12,74.25,0,0,0
2013-01-23,13,65.93,0,0,0
2013-01-23,14,64.42,0,0,0
2013-01-23,15,61.59,0,0,0
2013-01-23,16,58.61,0,0,0
2013-01-23,17,60.12,0,0,0
2013-01-23,18,74.9,0,0,0
2013-01-23,19,98.51,0,0,0
2013-01-23,20,75.46,0,0,0
2013-01-23,21,45.63,0,0,0
2013-01-23,22,43.11,0,0,0
2013-01-23,23,41.08,0,0,0
2013-01-23,24,40.25,0,0,0
2013-01-24,1,40.64,0,0,0
2013-01-24,2,40.02,0,0,0
2013-01-24,3,39.19,0,0,0
2013-01-24,4,39.67,0,0,0
2013-01-24,5,39.38,0,0,0
2013-01-24,6,41.21,0,0,0
2013-01-24,7,50.465,0,0,0
2013-01-24,8,68.465,0,0,0
2013-01-24,9,70.91,0,0,0
2013-01-24,10,73.89,0,0,0
2013-01-24,11,73.39,0,0,0
2013-01-24,12,72.62,0,0,0
2013-01-24,13,69.26,0,0,0
2013-01-24,14,64.16,0,0,0
2013-01-24,15,63.49,0,0,0
2013-01-24,16,60.22,0,0,0
2013-01-24,17,65.7,0,0,0
2013-01-24,18,77.14,0,0,0
2013-01-24,19,79.94,0,0,0
2013-01-24,20,74.97,0,0,0
2013-01-24,21,60.32,0,0,0
2013-01-24,22,53.96,0,0,0
2013-01-24,23,43.88,0,0,0
2013-01-24,24,40.16,0,0,0
2013-01-25,1,40.23,0,0,0
2013-01-25,2,39.29,0,0,0
2013-01-25,3,39.06,0,0,0
2013-01-25,4,39.17,0,0,0
2013-01-25,5,39.78,0,0,0
2013-01-25,6,41.04,0,0,0
2013-01-25,7,52.54,0,0,0
2013-01-25,8,62.76,0,0,0
2013-01-25,9,69.68,0,0,0
2013-01-25,10,69.9,0,0,0
2013-01-25,11,67.97,0,0,0
2013-01-25,12,66.79,0,0,0
2013-01-25,13,60.6,0,0,0
2013-01-25,14,55.08,0,0,0
2013-01-25,15,50.62,0,0,0
2013-01-25,16,50.69,0,0,0
2013-01-25,17,55.08,0,0,0
2013-01-25,18,62.28,0,0,0
2013-01-25,19,57.65,0,0,0
2013-01-25,20,44.25,0,0,0
2013-01-25,21,41.25,0,0,0
2013-01-25,22,40.39,0,0,0
2013-01-25,23,39.1,0,0,0
2013-01-25,24,36.42,0,0,0
2013-01-26,1,35.81,0,0,0
2013-01-26,2,32.83,0,0,0
2013-01-26,3,32.09,0,0,0
2013-01-26,4,32.06,0,0,0
2013-01-26,5,31.86,0,0,0
2013-01-26,6,31.38,0,0,0
2013-01-26,7,31.99,0,0,0
2013-01-26,8,30.17,0,0,0
2013-01-26,9,35.32,0,0,0
2013-01-26,10,37.84,0,0,0
2013-01-26,11,38.64,0,0,0
2013-01-26,12,38.68,0,0,0
2013-01-26,13,38.12,0,0,0
2013-01-26,14,37.79,0,0,0
2013-01-26,15,37.45,0,0,0
2013-01-26,16,37.88,0,0,0
2013-01-26,17,38.96,0,0,0
2013-01-26,18,40.38,0,0,0
2013-01-26,19,39.82,0,0,0
2013-01-26,20,39.09,0,0,0
2013-01-26,21,38.42,0,0,0
2013-01-26,22,36.349999999999994,0,0,0
2013-01-26,23,37.01,0,0,0
2013-01-26,24,36.12,0,0,0
2013-01-27,1,33.32,0,0,0
2013-01-27,2,31.42,0,0,0
2013-01-27,3,31.01,0,0,0
2013-01-27,4,29.5,0,0,0
2013-01-27,5,28.62,0,0,0
2013-01-27,6,25.31,0,0,0
2013-01-27,7,28.17,0,0,0
2013-01-27,8,29.71,0,0,0
2013-01-27,9,28.18,0,0,0
2013-01-27,10,32.64,0,0,0
2013-01-27,11,36.1,0,0,0
2013-01-27,12,36.49,0,0,0
2013-01-27,13,32.93,0,0,0
2013-01-27,14,28.36,0,0,0
2013-01-27,15,24.82,0,0,0
2013-01-27,16,15.19,0,0,0
2013-01-27,17,31.175,0,0,0
2013-01-27,18,37.114999999999995,0,0,0
2013-01-27,19,38.51,0,0,0
2013-01-27,20,38.02,0,0,0
2013-01-27,21,36.09,0,0,0
2013-01-27,22,33.27,0,0,0
2013-01-27,23,35.72,0,0,0
2013-01-27,24,32.02,0,0,0
2013-01-28,1,30.63,0,0,0
2013-01-28,2,31.05,0,0,0
2013-01-28,3,30.96,0,0,0
2013-01-28,4,30.74,0,0,0
2013-01-28,5,29.09,0,0,0
2013-01-28,6,32.01,0,0,0
2013-01-28,7,37.91,0,0,0
2013-01-28,8,39.71,0,0,0
2013-01-28,9,40.16,0,0,0
2013-01-28,10,39.94,0,0,0
2013-01-28,11,39.66,0,0,0
2013-01-28,12,39.37,0,0,0
2013-01-28,13,39.12,0,0,0
2013-01-28,14,39.07,0,0,0
2013-01-28,15,39.08,0,0,0
2013-01-28,16,39.13,0,0,0
2013-01-28,17,39.46,0,0,0
2013-01-28,18,39.98,0,0,0
2013-01-28,19,39.73,0,0,0
2013-01-28,20,38.98,0,0,0
2013-01-28,21,38.215,0,0,0
2013-01-28,22,35.535,0,0,0
2013-01-28,23,33.21,0,0,0
2013-01-28,24,21.59,0,0,0
2013-01-29,1,24.56,0,0,0
2013-01-29,2,10.53,0,0,0
2013-01-29,3,8.45,0,0,0
2013-01-29,4,8.51,0,0,0
2013-01-29,5,8.31,0,0,0
2013-01-29,6,10.39,0,0,0
2013-01-29,7,34.144999999999996,0,0,0
2013-01-29,8,37.44,0,0,0
2013-01-29,9,37.94,0,0,0
2013-01-29,10,37.98,0,0,0
2013-01-29,11,37.96,0,0,0
2013-01-29,12,38.41,0,0,0
2013-01-29,13,38.34,0,0,0
2013-01-29,14,38.95,0,0,0
2013-01-29,15,39.29,0,0,0
2013-01-29,16,39.43,0,0,0
2013-01-29,17,39.69,0,0,0
2013-01-29,18,42.6,0,0,0
2013-01-29,19,40.02,0,0,0
2013-01-29,20,39.45,0,0,0
2013-01-29,21,38.89,0,0,0
2013-01-29,22,38.595,0,0,0
2013-01-29,23,35.415000000000006,0,0,0
2013-01-29,24,30.51,0,0,0
2013-01-30,1,23.07,0,0,0
2013-01-30,2,13.78,0,0,0
2013-01-30,3,10.35,0,0,0
2013-01-30,4,10.04,0,0,0
2013-01-30,5,10.03,0,0,0
2013-01-30,6,10.46,0,0,0
2013-01-30,7,34.61,0,0,0
2013-01-30,8,38.55,0,0,0
2013-01-30,9,37.83,0,0,0
2013-01-30,10,37.51,0,0,0
2013-01-30,11,37.5,0,0,0
2013-01-30,12,37.33,0,0,0
2013-01-30,13,36.99,0,0,0
2013-01-30,14,36.6,0,0,0
2013-01-30,15,36.38,0,0,0
2013-01-30,16,36.44,0,0,0
2013-01-30,17,36.99,0,0,0
2013-01-30,18,37.78,0,0,0
2013-01-30,19,37.07,0,0,0
2013-01-30,20,36.91,0,0,0
2013-01-30,21,36.27,0,0,0
2013-01-30,22,28.835,0,0,0
2013-01-30,23,15.2,0,0,0
2013-01-30,24,6.45,0,0,0
2013-01-31,1,-0.03,1,2,0
2013-01-31,2,-0.02,1,2,0
2013-01-31,3,-0.07,1,2,0
2013-01-31,4,-0.04,1,2,0
2013-01-31,5,6.92,0,0,0
